rest_name,rest_zone,rating,review,rest_address,rest_type,rest_cost,rest_time
Eaton Noodles,Kelapa Gading,2.9,(37 Ulasan),"Jl. Boulevard Raya, Blok I - J No. 1, Kelapa Gading, Jakarta","Indonesia, Chinese, Kue & Roti",Harga untuk 2:Rp150.000,Jam:                                      7h - 22h (Sen-Min)
China Lanzhou Ramen Noodles,"Garden Shopping Arcade, Tanjung Duren",3.6,(8 Ulasan),"Ruko Garden Shopping Arcade, Blok B No. 8DC, Jl. Letjen S. Parman, Tanjung Duren, Jakarta","Chinese, Asia",Harga untuk 2:Rp150.000,Jam:                                      10h - 23h (Sen-Min)
A Paw Noodle House,"Summarecon Mall Serpong, Serpong Utara",4.1,(100 Ulasan),"Summarecon Mall Serpong, Lantai 2, Food Temptation, Jl. Boulevard Gading Serpong, Serpong Utara, Tangerang",Chinese,Harga untuk 2:Rp150.000,Jam:                                      9h - 22h (Sen-Min)
Noodles Now - Neo Hotel,Mangga Dua,3.0,(9 Ulasan),"Neo Hotel Mangga Dua Square, Jl. Gunung Sahari 1, Mangga Dua, Jakarta","Barat, Indonesia",Harga untuk 2:Rp120.000,Jam:                                      6h - 23h (Sen-Min)
SPROUTS Noodle Parlor,Fatmawati,3.2,(6 Ulasan),"FUA Centre, Jl. Fatmawati Raya No. 39, Fatmawati, Jakarta 12420","Bakmi, Asia",Harga untuk 2:Rp80.000,"Jam:                                      Tutup (Sen),11h 30m - 20h (Sel-Min)"
T&T Noodle House,Pantai Indah Kapuk,2.8,(16 Ulasan),"Ruko Camar Indah, Blok DD No. 12, Jl. Camar Indah 1, Pantai Indah Kapuk, Jakarta","Bakmi, Chinese",Harga untuk 2:Rp80.000,Jam:                                      10h - 22h (Sen-Min)
OPEN Restaurant - DoubleTree by Hilton Jakarta...,"DoubleTree by Hilton Hotel, Cikini",4.2,(253 Ulasan),"DoubleTree by Hilton Jakarta - Diponegoro, Jl. Pegangsaan Timur No. 17, Cikini - Menteng, Jakarta Pusat  10310","Eropa, Barat, Asia",Harga untuk 2:Rp700.000,Jam:                                      6h - 22h (Sen-Min)
Satoo - Shangri-La Hotel,"Shangri-La Hotel, Jakarta, Sudirman",4.4,"(1,736 Ulasan)","Shangri-La Hotel, Jl. Jendral Sudirman Kav. 1, Sudirman, Jakarta","Indonesia, Barat",Harga untuk 2:Rp550.000,Jam:                                      6h - 24h (Sen-Min)
"Li Feng - Mandarin Oriental, Jakarta","Mandarin Oriental Hotel, Thamrin",4.6,(447 Ulasan),"Hotel Mandarin Oriental, Jakarta, Jl. M. H. Thamrin, Thamrin, Jakarta 10310","Chinese, Dimsum",Harga untuk 2:Rp650.000,"Jam:                                      11h 30m - 14h 30m, 18h - 21h (Sen-Jum),11h 30m -..."
Ippudo,"Grand Indonesia Mall, Thamrin",4.6,(816 Ulasan),"Grand Indonesia Mall, West Mall, Lantai 3A, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta","Ramen, Jepang",Harga untuk 2:Rp250.000,Jam:                                      10h - 22h (Sen-Min)
Seasonal Tastes - The Westin Jakarta,"The Westin Jakarta, Kuningan",4.4,(863 Ulasan),"The Westin Jakarta, Jl. H. R. Rasuna Said, Kuningan, Jakarta","Indonesia, India, Barat",Harga untuk 2:Rp500.000,"Jam:                                      6h - 10h, 12h - 16h, 18h - 21h (Sen-Jum),6h - 10h..."
Mangkukmi Fusion and Noodles,Fatmawati,3.6,(19 Ulasan),"Jl. Margasatwa No. 14, Fatmawati, Jakarta",Bakmi,Harga untuk 2:Rp70.000,"Jam:                                      Tutup (Sen),9h - 22h (Sel-Min)"
