Restaurant Name;Restaurant Type;Restaurant Area;Restaurant Rating;Restaurant Review;Restaurant Address;Latitude;Longitude;Price
Sana Sini Restaurant - Pullman Jakarta Indonesia;['Fine Dining', 'Japanese', 'Chinese', 'Western', 'Indonesian'];Thamrin;4.7;840 Reviews;Pullman Jakarta Indonesia, Jl. M.H. Thamrin 59, Thamrin, Jakarta;-61.936.040.000;106.823.753.000;Intimate Setting
Yakiniku Kintan Buffet;['Casual Dining', 'Japanese'];Gandaria;4.5;1,263 Reviews;Gandaria City, Lantai Upper Ground, Jl. Sultan Iskandar Muda, Gandaria, Jakarta;-62.430.950.000;106.783.823.000;Rp600.000 for two people (approx.)
Jjang Korean Noodle; ['Casual Dining', 'Korean', 'Grill & Chikin’'];Senopati;4.2;705 Reviews;Jl. Wolter Monginsidi No. 37, Senopati, Jakarta;-62.390.952.746;106.808.573.082;Portions
Parc 19;['Casual Dining', 'Lounge', 'Western', 'Asian'];Kemang;4.2;574 Reviews;Jl. Taman Kemang No. 19, Kemang, Jakarta;-62.559.260.000;106.810.325.000;Live Music
Sophie Authentique;['Casual Dining', 'Bakery', 'French', 'Coffee', 'Desserts', 'Bakery'];Fatmawati;4.2;429 Reviews;Jl. Cipete Raya No. 11, Fatmawati, Jakarta;-62.779.998.041;106.801.886.335;Bread
Al Jazeerah Signature;['Casual Dining', 'Arabian', 'Middle Eastern'];Menteng;4.3;495 Reviews;Jl. Johar No. 8, Menteng, Jakarta;-61.871.770.000;106.831.998.000;Rp500.000 for two people (approx.)
Happiness Kitchen & Coffee;['Café', 'Coffee', 'Western'];Jagakarsa;4.0;739 Reviews;Jl. M. Kahfi 1 No. 36A, Jagakarsa, Jakarta;-63.302.290.000;106.808.964.000;Rp120.000 for two people (approx.)
B'Steak Grill & Pancake;['Casual Dining', 'Steak', 'Grill'];Serpong Utara;4.4;1,087 Reviews;Ruko Golden 8, Jl. Ki Hajar Dewantara, Blok F No. 3, Serpong Utara, Tangerang 11151;-62.396.430.000;106.637.187.000;Rp300.000 for two people (approx.) Without alcohol
Langit Seduh - Takes Mansion & Hotel;['Café', 'Coffee', 'Indonesian', 'Snacks'];Tanah Abang;3.2;356 Reviews;Takes Mansion &amp;;;Rp150.000 for two people (approx.)
Ecology Bistro and Lounge;['Casual Dining', 'Lounge', 'Western'];Kemang;4.1;406 Reviews;Jl. Kemang Raya No. 6, Kemang, Jakarta 12730;-62.565.147.357;106.814.536.303;Rp150.000 for two people (approx.)
Seribu Rasa;['Casual Dining', 'Seafood', 'Jawa', 'Peranakan'];Thamrin;4.5;656 Reviews;Jl. Haji Agus Salim No. 128, Thamrin, Jakarta;-61.954.940.000;106.824.827.000;Rp500.000 for two people (approx.) Without alcohol
BYURGER;['Quick Bites', 'Burger'];Fatmawati;4.4;638 Reviews;Jl. Antasari Raya, Pasar Cipete Selatan No. 10, Fatmawati, Jakarta;-62.788.680.000;106.807.926.000;Rp400.000 for two people (approx.) Without alcohol
FJ On 7;['Lounge', 'Asian', 'Western'];Kemang;4.0;632 Reviews;Colony 6, Rooftop, Jl. Kemang Raya No. 6A, Kemang, Jakarta;-62.553.880.000;106.810.357.000;Rp100.000 for two people (approx.)
Holy Smokes;['Casual Dining', 'Grill', 'Steak'];Senopati;4.4;1,441 Reviews;Jl. Wolter Monginsidi No. 27, Senopati, Jakarta;-62.389.300.000;106.807.761.000;Rp400.000 for two people (approx.) with alcohol
Gurih 7;['Casual Dining', 'Sunda', 'Jawa', 'Indonesian'];Bogor Utara;4.2;1,925 Reviews;Jl. Raya Pajajaran No.102, Bogor Utara, Bogor 16153;-65.739.320.000;106.807.550.000;Rp500.000 for two people (approx.) Without alcohol
Fillmore Coffee;['Café', 'Cafe'];Setiabudi;4.4;477 Reviews;Suites@ Seven, Jl. H. Sidik No. 7, Setiabudi, Jakarta;-62.206.663.304;106.823.557.913;Rp250.000 for two people (approx.)
Kedai Filosofi Kopi;['Café', 'Coffee'];Melawai;4.1;985 Reviews;Jl. Melawai 6, Melawai, Jakarta;-62.448.578.322;106.799.778.454;Rp150.000 for two people (approx.)
Sumibi Japanese Restaurant;['Casual Dining', 'Japanese'];Gandaria;4.6;604 Reviews;1 Park Residences, Jl. KH. M Syafi'i Hadzami No. 1, Gandaria, Jakarta;-62.457.690.000;106.788.394.000;Rp100.000 for two people (approx.)
Sushi Go!;['Food Court', 'Sushi', 'Japanese'];Thamrin;4.5;3,818 Reviews;Grand Indonesia Mall, Lantai 5, FoodPrint, West Mall, Jl. MH Thamrin, Thamrin, Jakarta;-61.950.580.000;106.820.135.000;Rp300.000 for two people (approx.) Without alcohol
Onokabe;['Casual Dining', 'Japanese'];Serpong Utara;3.8;1,004 Reviews;Alam Sutera Town Center, Jl. Alam Utama, Serpong Utara, Tangerang;-62.417.640.000;106.652.677.000;Rp100.000 for two people (approx.)
Kikugawa;['Casual Dining', 'Japanese', 'Sushi'];Cikini;4.5;501 Reviews;Jl. Cikini 4 No. 13, Cikini, Jakarta;-61.933.400.000;106.837.795.000;Rp300.000 for two people (approx.)
Dope Burger & Co.;['Casual Dining', 'Burger'];Menteng;4.3;774 Reviews;Jl. Teuku Cik Ditiro No. 25, Menteng, Jakarta;-61.971.070.000;106.837.075.000;Rp250.000 for two people (approx.) Without alcohol
Bistecca;['Casual Dining', 'Steak', 'Italian'];SCBD;4.4;492 Reviews;18 Parc SCBD, Tower C, Lantai Ground, Jl. Jenderal Sudirman Kav 52-53, SCBD, Jakarta;-62.301.466.870;106.810.180.060;Rp250.000 for two people (approx.)
Mottomoo;['Casual Dining', 'Japanese'];SCBD;4.3;1,023 Reviews;Pacific Place Mall, Lantai 5, Jl. Jenderal Sudirman, SCBD, Jakarta;-62.258.114.882;106.809.755.936;Rp850.000 for two people (approx.) Without alcohol
Talaga Sampireun;['Casual Dining', 'Sunda', 'Indonesian'];Ancol;4.3;3,848 Reviews;Taman Impian Jaya Ancol, Jl. Lapangan Golf 7, Ancol, Jakarta;-61.264.220.000;106.833.536.000;Rp250.000 for two people (approx.)
Kluwih Sunda Authentic;['Casual Dining', 'Indonesian'];Bogor Timur;4.4;766 Reviews;Jl. Bina Marga I No. 12, Bogor Timur, Bogor;-66.028.730.000;106.810.907.000;Beautiful View
Paradigma;['Café', 'Coffee', 'Indonesian'];Cikini;3.8;578 Reviews;Jl. Pegangsaan Barat No. 4, Cikini, Jakarta;-61.974.340.000;106.839.832.000;Rp200.000 for two people (approx.)
OSO Ristorante;['Fine Dining', 'Italian'];Thamrin;4.3;294 Reviews;Altitude - The Plaza, Lantai 46, Jl. M. H. Thamrin Kav. 28-30, Thamrin, Jakarta 10350;-61.934.260.000;106.821.924.000;Rp200.000 for two people (approx.)
Sleepyhead Coffee;['Café', 'Cafe'];Senopati;4.2;376 Reviews;Jl. Gunawarman No. 63, Senopati, Jakarta 12180;-62.377.604.453;106.807.551.495;Rp600.000 for two people (approx.) Without alcohol
Latteria Gelato and Dessert Bar;['Dessert Parlor', 'Desserts', 'Ice Cream'];Pantai Indah Kapuk;4.6;1,280 Reviews;Ruko Crown Golf, Blok D No. 39, Bukit Golf Mediterania, Jl. Marina Indah Raya, Pantai Indah Kapuk, Jakarta;-61.113.249.700;106.738.382.019;Rp100.000 for two people (approx.)
Kayu Kayu Restaurant;['Casual Dining', 'Indonesian'];Pinang;3.9;654 Reviews;Jl. Jalur Sutera No. 28A, Pinang, Tangerang;-62.331.770.053;106.660.175.174;Rp100.000 for two people (approx.)
Walking Drums;['Café', 'Indonesian'];Blok M;4.2;655 Reviews;Jl. Pati Unus Blok F4, Blok M, Jakarta;-62.354.480.000;106.795.941.000;Rp300.000 for two people (approx.) Without alcohol
;;;;;;;;Rp150.000 for two people (approx.)
