Restaurant Name;Restaurant Type;Restaurant Area;Restaurant Rating;Restaurant Review;Restaurant Address;Latitude;Longitude;Price
Lucy in the Sky;['Lounge', 'Casual Dining', 'Western', 'Asian'];SCBD;4.0;1,110 Reviews;Fairgrounds, SCBD Lot 14, Jl. Jenderal Sudirman, SCBD, Jakarta;-62.264.180.000;106.807.119.000;Rp400.000 for two people (approx.) with alcohol
Lucky Cat Coffee & Kitchen;['Café', 'Casual Dining', 'Cafe', 'Western'];Kuningan;4.2;1,694 Reviews;Plaza Festival, South Parking, Jl. H.R. Rasuna Said, Kuningan, Jakarta;-62.219.895.377;106.833.554.171;Rp300.000 for two people (approx.)
Daitokyo Sakaba;['Quick Bites', 'Japanese', 'Ramen'];Melawai;4.3;1,280 Reviews;Jl. Melawai 9 No. 26, Melawai, Jakarta;-62.455.444.022;106.800.359.152;Casual Seating Area
Plataran Menteng;['Fine Dining', 'Indonesian'];Menteng;4.4;915 Reviews;Jl. HOS. Cokroaminoto No. 42, Menteng, Jakarta;-61.919.540.000;106.828.573.000;Rp500.000 for two people (approx.) Without alcohol
Wyl's Kitchen - Veranda Hotel At Pakubuwono;['Casual Dining', 'Indonesian'];Gandaria;4.3;956 Reviews;Veranda Hotel At Pakubuwono, Jl. Kyai Maja No. 63, Gandaria, Jakarta 12130;-62.399.460.000;106.785.755.000;Rp200.000 for two people (approx.) Without alcohol
Giyanti Coffee Roastery;['Café', 'Coffee'];Cikini;4.8;1,372 Reviews;Jl. Surabaya No. 20, Cikini, Jakarta;-61.989.270.000;106.839.468.000;Quaint Little Place
Legend of Noodle;['Casual Dining', 'Korean'];Senopati;4.6;1,463 Reviews;Jl. Senopati No. 81, Senopati, Jakarta;-62.332.056.686;106.812.229.603;Service is Great and Fast
Cork & Screw Country Club;['Lounge', 'Casual Dining', 'European', 'Grill', 'Asian'];Senayan;4.1;761 Reviews;Senayan National Golf Club - The Maj Senayan, Jl. Asia Afrika Pintu IX, Senayan, Jakarta;-62.256.045.096;106.797.773.838;Rp600.000 for two people (approx.) with alcohol
Cutt & Grill;['Casual Dining', 'Grill', 'Burger', 'Steak', 'Kebab'];Tebet;4.6;1,210 Reviews;Jl. Tebet Barat Dalam Raya No. 23, Tebet, Jakarta;-62.357.880.000;106.846.870.000;Rp300.000 for two people (approx.)
Kintaro Sushi;['Casual Dining', 'Sushi', 'Japanese'];Senopati;4.7;3,316 Reviews;Jl. Suryo No. 20, Senopati, Jakarta;-62.346.211.665;106.813.008.785;Rp400.000 for two people (approx.)
Kopi Kalyan;['Café', 'Cafe', 'Western', 'Indonesian'];Senopati;4.2;955 Reviews;Jl. Cikajang No. 61, Senopati, Jakarta;-62.433.297.108;106.809.213.124;Rp100.000 for two people (approx.)
Social House;['Casual Dining', 'Italian', 'Japanese'];Thamrin;4.3;2,123 Reviews;Grand Indonesia Mall, East Mall, Lantai 1, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta;-61.951.780.000;106.820.437.000;Great View
Namaaz Dining;['Fine Dining', 'Indonesian'];Senopati;4.9;927 Reviews;Jl. Gunawarman No. 42, Senopati, Jakarta;-62.385.876.732;106.806.963.086;Rp2.400.000 for two people (approx.) Without alcohol
Hokkaido Izakaya;['Casual Dining', 'Japanese', 'Sushi'];Sudirman;4.7;1,134 Reviews;Pavilion Retail Arcade, Lantai Dasar, Jl. K.H. Mas Mansyur Kav. 24, Sudirman, Jakarta;-62.077.490.000;106.817.745.000;Rp350.000 for two people (approx.) Without alcohol
JimBARan Lounge - AYANA Midplaza JAKARTA;['Lounge', 'Bar', 'Asian'];Sudirman;4.1;536 Reviews;AYANA Midplaza JAKARTA, Jl. Jend. Sudirman Kav. 10-11, Sudirman, Jakarta;-62.090.232.960;106.819.872.893;Rp450.000 for two people (approx.) with alcohol
La Vue Rooftop Bar - The Hermitage;['Lounge', 'Casual Dining', 'Finger Food', 'Western'];Cikini;4.2;371 Reviews;The Hermitage, Lantai 9. Jl. Cilacap No. 1, Menteng, Jakarta 10310;-61.982.800.000;106.838.072.000;Rp650.000 for two people (approx.) with alcohol
OKU - Hotel Indonesia Kempinski;['Fine Dining', 'Bar', 'Japanese', 'Sushi'];Thamrin;4.9;933 Reviews;Hotel Indonesia Kempinski, Jl. M. H. Thamrin, Thamrin, Jakarta;-61.956.170.000;106.822.359.000;Rp900.000 for two people (approx.) Without alcohol
Eighty/Nine Eatery & Spirit;['Casual Dining', 'Western', 'Asian'];Kemang;4.2;1,028 Reviews;Jl. Kemang Raya No. 89, Kemang, Jakarta;-62.704.200.000;106.815.768.000;Rp350.000 for two people (approx.)
BART - Bar at The Roof Top - Artotel Jakarta;['Casual Dining', 'Continental', 'Indonesian'];Thamrin;4.0;540 Reviews;Artotel Jakarta, Lantai 7, Jl. Sunda No. 3, Thamrin, Jakarta;-61.888.510.000;106.824.792.000;Rp300.000 for two people (approx.) Without alcohol
Paulaner Brauhaus;['Bar', 'Casual Dining', 'German'];Thamrin;4.6;1,912 Reviews;Grand Indonesia Mall, East Mall, Lantai 2, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta;-61.963.100.000;106.822.536.000;Amazing Food and Experience
Seasonal Tastes - The Westin Jakarta;['Casual Dining', 'Indonesian', 'Indian', 'Western'];Kuningan;4.4;863 Reviews;The Westin Jakarta, Jl. H. R. Rasuna Said, Kuningan, Jakarta;-62.243.216.407;106.833.692.975;Rp500.000 for two people (approx.) Without alcohol
Seirock-Ya;['Casual Dining', 'Japanese', 'Ramen'];Gandaria;4.7;1,571 Reviews;Jl. Ahmad Dahlan no. 22, Gandaria, Jakarta;-62.464.100.000;106.791.743.000;Authentic
